name,genres,popularity
LL COOL J,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",67
Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']",75
KXLLSWXTCH,"['dark trap', 'oc rap', 'scream rap']",68
Fat Joe,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",69
Joey Valence & Brae,['rap rock'],66
SAINt JHN,"['melodic rap', 'slap house']",69
Gym Class Heroes,"['dance pop', 'pop rap']",70
j-hope,"['k-pop', 'k-rap']",73
Chri$tian Gate$,"['sad rap', 'singer-songwriter pop']",66
Whethan,"['electropop', 'hyperpop', 'rage rap']",69
The-Dream,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",65
Homixide Gang,['rage rap'],65
Taio Cruz,"['dance pop', 'pop', 'pop rap']",71
Fivio Foreign,"['brooklyn drill', 'new york drill', 'rap', 'trap']",67
Coolio,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",71
Eazy-E,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",67
Too $hort,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']",63
Drakeo the Ruler,['cali rap'],62
Ying Yang Twins,"['atl hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",64
Mozzy,"['cali rap', 'sacramento hip hop']",63
C-Kan,"['latin hip hop', 'mexican hip hop', 'rap conciencia', 'trap mexicano']",71
Curren$y,"['dirty south rap', 'new orleans rap', 'southern hip hop', 'underground hip hop']",63
Cochise,"['plugg', 'pluggnb', 'rage rap']",66
City Girls,"['scam rap', 'trap queen']",64
South Park Mexican,"['chicano rap', 'latin hip hop', 'texas latin rap']",61
03 Greedo,"['cali rap', 'melodic rap']",62
Sueco,['cali rap'],64
BROCKHAMPTON,"['boy band', 'rap']",65
Tokischa,"['rap latina', 'trap dominicano']",72
Quality Control,"['melodic rap', 'trap']",64
Foolio,"['florida drill', 'florida rap']",63
The Crane Wives,"['grand rapids indie', 'michigan indie', 'pov: indie']",64
Yung Lean,"['cloud rap', 'psychedelic hip hop', 'underground hip hop']",68
Cassie,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",68
Lil Jon & The East Side Boyz,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",64
3OH!3,"['dance pop', 'electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']",64
070 Shake,['new jersey rap'],69
Blueface,"['cali rap', 'rap', 'trap']",65
Eve,"['contemporary r&b', 'dance pop', 'hip pop', 'philly rap', 'r&b', 'urban contemporary']",68
